year,age,sex,people
2001,5,1,15103366
2001,5,2,14097199
2001,10,1,9798391
2001,10,2,9052214
2001,15,1,11769607
2001,15,2,10723020
2001,20,1,8735528
2001,20,2,7610472
2001,25,1,9720425
2001,25,2,9108461
2001,30,1,8518565
2001,30,2,8261748
2001,35,1,7142001
2001,35,2,7040941
2001,40,1,6936003
2001,40,2,6836291
2001,45,1,5954710
2001,45,2,5500274
2001,50,1,4989847
2001,50,2,4701492
2001,55,1,3933378
2001,55,2,3515197
2001,60,1,2857732
2001,60,2,3022802
2001,65,1,2932344
2001,65,2,3032520
2001,70,1,2006658
2001,70,2,2108486
2001,75,1,1453317
2001,75,2,1435988
2001,80,1,584072
2001,80,2,632742
2001,85,1,721566
2001,85,2,817508
2011,5,1,84999203
2011,5,2,78820411
2011,10,1,56796945
2011,10,2,52002773
2011,15,1,59917106
2011,15,2,53595433
2011,20,1,41714059
2011,20,2,35980772
2011,25,1,46321150
2011,25,2,43442982
2011,30,1,41557546
2011,30,2,41864847
2011,35,1,37361916
2011,35,2,36912128
2011,40,1,36038727
2011,40,2,34535358
2011,45,1,29878715
2011,45,2,25859582
2011,50,1,24867886
2011,50,2,22541090
2011,55,1,19851608
2011,55,2,16735951
2011,60,1,13583022
2011,60,2,14070325
2011,65,1,13586347
2011,65,2,13930432
2011,70,1,9472103
2011,70,2,10334852
2011,75,1,7527688
2011,75,2,7180956
2011,80,1,3263209
2011,80,2,3288016
2011,85,1,3918980
2011,85,2,4119738
