District,Population 2011,Population 2001,Variation in population 2001-2011,Percentage increase 2001-2011
Ambala,1128350.00,1014411.00,113939.00,11.23
Panchkula,561293.00,468411.00,92882.00,19.83
Yamunanagar,1214205.00,1041630.00,172575.00,16.57
Kurukshetra,964655.00,825454.00,139201.00,16.86
Kaithal,1074304.00,946131.00,128173.00,13.55
Karnal,1505324.00,1274183.00,231141.00,18.14
Panipat,1205437.00,967449.00,237988.00,24.60
Sonipat,1450001.00,1279175.00,170826.00,13.35
Rohtak,1061204.00,940128.00,121076.00,12.88
Jhajjar,958405.00,880072.00,78333.00,8.90
Faridabad,1809733.00,1365465.00,444268.00,32.54
Palwal,1042708.00,829121.00,213587.00,25.76
Gurgaon,1514432.00,870539.00,643893.00,73.14
Mewat,1089263.00,789750.00,299513.00,38.65
Rewari,900332.00,765351.00,134981.00,17.64
Mahendragarh,922088.00,812521.00,109567.00,13.48
Bhiwani,1634445.00,1425022.00,209423.00,14.70
Jind,1334152.00,1189827.00,144325.00,12.13
Hisar,1743931.00,1537117.00,206814.00,13.45
Fatehabad,942011.00,806158.00,135853.00,16.85
Sirsa,1295189.00,1116649.00,178540.00,15.99
Total,25351462.00,21144564.00,4206898.00,19.90
